date,ticker,priority,signal_role,rank_eligible,score_mode,universe,rotation_group,level,exposure,sector,industry_theme,primary_benchmark,parent_benchmark,paired_ticker,pair_type,data_status,bars_available,close,volume,dollar_volume,relative_dollar_volume,return_20,return_63,rs20,rs63,parent_rs20,parent_rs63,pair_spread_20,pair_spread_63,signal_rs20,signal_rs63,pair_signal_raw,pair_signal_confirmed,pair_signal,cmf20,obv_change_20,sma50,sma200,position_52w,trend_score,rotation_score,group_rank,group_size,group_percentile,score_change_5,score_change_10,score_change_20,score_change_63,rank_change_5,rank_change_20,rs20_change_5,rs63_change_20,days_leader_zone_20,leader_zone_streak,days_top_quartile_20,top_quartile_streak,consecutive_improving_days,rotation_state_raw,rotation_state_confirmed,rotation_state,confirmed_state_age,pending_rotation_state,pending_state_days,state_confirmation_bars,confirmed_pair_signal_age,pending_pair_signal,pending_pair_signal_days,pair_confirmation_bars,score_formula_version
2026-08-12,EPHE,EXTENDED,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,Philippines,,,ACWX,ASEA,,,READY,502,25.850000,84318.000000,2179620.332165,0.676617,0.027425,0.069644,-0.002471,0.017825,0.003927,-0.039163,,,-0.002471,0.017825,,,,0.370877,-552542.000000,25.071375,24.795352,0.929011,1.000000,71.341463,10.000000,41.000000,78.048780,0.365854,-1.402439,33.475610,39.878049,-1.000000,22.000000,-0.007350,0.047185,8,1,8,1,1,NEUTRAL,EMERGING,EMERGING,4,NEUTRAL,2,3,0,,0,3,v1.1
2026-08-12,EWT,CORE,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,Taiwan,,,ACWX,AAXJ,,,READY,502,106.214996,3643833.000000,387029708.750885,0.672853,0.036345,0.132718,0.006450,0.080899,0.022729,0.114572,,,0.006450,0.080899,,,,0.041897,-16892984.000000,102.328100,80.154153,0.952345,1.000000,70.487805,11.000000,41.000000,75.609756,23.780488,24.756098,-0.121951,-25.731707,17.000000,-4.000000,0.054319,-0.160741,1,1,1,1,3,NEUTRAL,WEAKENING,WEAKENING,28,NEUTRAL,1,3,0,,0,3,v1.1
2026-08-12,EWG,CORE,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,Germany,,,ACWX,FEZ,,,READY,502,43.825001,357959.000000,15687553.448101,0.380235,0.056024,0.065906,0.026129,0.014086,0.006689,-0.039958,,,0.026129,0.014086,,,,0.090037,6035826.000000,41.867641,41.321404,0.995570,1.000000,66.707317,12.000000,41.000000,71.951220,5.243902,-5.000000,10.243902,22.743902,5.000000,9.000000,-0.003579,0.046841,4,0,4,0,0,ACCELERATING,EMERGING,EMERGING,11,ACCELERATING,1,3,0,,0,3,v1.1
2026-08-12,EWN,EXTENDED,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,Netherlands,,,ACWX,FEZ,,,READY,502,70.489998,366757.000000,25852700.146523,1.673327,0.026354,0.111683,-0.003541,0.059864,-0.022981,0.005820,,,-0.003541,0.059864,,,,-0.164462,-2209749.000000,67.922853,61.634954,0.995059,1.000000,66.707317,12.000000,41.000000,71.951220,26.707317,19.634146,-5.365854,-11.341463,20.000000,-7.000000,0.006455,0.008952,0,0,0,0,1,NEUTRAL,WEAKENING,WEAKENING,27,NEUTRAL,1,3,0,,0,3,v1.1
2026-08-12,EWJ,CORE,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,Japan,,,ACWX,VPL,,,READY,502,97.699997,1908665.000000,186476564.675217,0.497084,0.044920,0.067031,0.015025,0.015211,0.009343,0.035337,,,0.015025,0.015211,,,,0.078596,-7720335.000000,93.106154,86.984815,1.000000,1.000000,66.585366,14.000000,41.000000,68.292683,10.609756,25.365854,-4.634146,-8.048780,6.000000,-8.000000,0.013408,-0.000084,0,0,0,0,2,NEUTRAL,WEAKENING,WEAKENING,18,NEUTRAL,1,3,0,,0,3,v1.1
2026-08-12,EWA,CORE,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,Australia,,,ACWX,VPL,,,READY,502,29.885000,1723905.000000,51518901.319571,0.956330,0.037674,0.033596,0.007778,-0.018223,0.002097,0.001903,,,0.007778,-0.018223,,,,0.056921,512224.000000,28.720472,27.694738,0.982736,1.000000,65.365854,15.000000,41.000000,65.853659,-1.829268,3.536585,6.951220,4.146341,-2.000000,2.000000,-0.037361,0.050221,7,0,7,0,1,NEUTRAL,EMERGING,EMERGING,10,NEUTRAL,1,3,0,,0,3,v1.1
2026-08-12,EWC,CORE,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,Canada,,,ACWX,ACWX,,,READY,502,61.820000,636882.000000,39372045.045639,0.392433,0.039166,0.065912,0.009271,0.014092,0.009271,0.014092,,,0.009271,0.014092,,,,0.102414,6956302.000000,58.917510,55.763098,1.000000,1.000000,63.414634,16.000000,41.000000,63.414634,-5.000000,-4.512195,-4.024390,-5.487805,-5.000000,-7.000000,-0.012507,0.014353,10,0,10,0,0,WEAKENING,EMERGING,EMERGING,18,WEAKENING,1,3,0,,0,3,v1.1
2026-08-12,ENOR,EXTENDED,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,Norway,,,ACWX,VGK,,,READY,502,35.610001,13435.000000,478420.358200,0.269537,0.071300,0.005551,0.041404,-0.046269,0.037357,-0.066657,,,0.041404,-0.046269,,,,0.129409,411804.000000,33.578564,31.661455,0.977047,1.000000,62.804878,17.000000,41.000000,60.975610,23.902439,8.048780,36.585366,8.902439,17.000000,21.000000,0.019830,0.053512,3,0,3,0,1,EMERGING,EMERGING,EMERGING,2,,0,3,0,,0,3,v1.1
2026-08-12,EPU,EXTENDED,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,Peru,,,ACWX,ILF,,,READY,502,89.458702,14173.000000,1267898.184685,0.303641,0.031819,0.079994,0.001924,0.028175,0.062835,0.134651,,,0.001924,0.028175,,,,0.137247,52769.000000,85.306920,78.844607,0.969049,1.000000,62.195122,18.000000,41.000000,58.536585,-26.951220,-3.536585,5.000000,33.048780,-17.000000,1.000000,-0.062136,0.052350,12,0,12,0,0,NEUTRAL,WEAKENING,WEAKENING,20,NEUTRAL,1,3,0,,0,3,v1.1
2026-08-12,THD,EXTENDED,SIGNAL,True,CROSS_SECTIONAL,EX_US,EXUS_COUNTRY,country,Thailand,,,ACWX,ASEA,,,READY,502,73.324997,28322.000000,2076710.563568,0.680674,0.013616,0.068812,-0.016279,0.016993,-0.009881,-0.039995,,,-0.016279,0.016993,,,,0.295146,514278.000000,72.124645,65.926315,0.994912,1.000000,61.341463,19.000000,41.000000,56.097561,9.756098,11.097561,4.878049,20.487805,2.000000,2.000000,-0.014820,0.040629,7,0,7,0,1,NEUTRAL,NEUTRAL,NEUTRAL,21,,0,3,0,,0,3,v1.1
